email,firstName,companyName,website,phone,city,state,source_url
contact@renewbeautymedspa.com,,Renew Beauty,https://www.renewbeautymedspa.com/,(214) 369-1600,Dallas,TX,https://www.google.com/maps/search/?api=1&query=Renew%20Beauty&query_place_id=ChIJbyg4-76fToYR7yQNSxt9gY4
info@upkeepmedspa.com,,UPKEEP Med Spa,https://www.upkeepmedspa.com/,(833) 875-3377,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg
uptown@marasmedspa.com,,Mara's Med Spa,https://www.marasmedspa.com/,(469) 730-3333,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=Mara's%20Med%20Spa&query_place_id=ChIJVTgC-i-ZToYRnhM8bs_V0V8
concierge@nakedmd.com,,NakedMD Med Spa Dallas,https://www.nakedmd.com/pages/med-spa-dallas-tx,(972) 587-0608,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Dallas&query_place_id=ChIJj2R7CNAhTIYR-jVvd4jqwYQ
booking@thebrowproject.com,,The Brow Project,http://www.thebrowproject.com/,(945) 221-6806,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=The%20Brow%20Project&query_place_id=ChIJa_k-9_ShToYRu7GmwIQSJg8
info@dermanimedspa.com,,dermani MEDSPA® Preston Hollow,https://dermanimedspa.com/preston-hollow-dallas-tx/,(214) 753-8650,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=dermani%20MEDSPA%C2%AE%20Preston%20Hollow&query_place_id=ChIJUzNtjKAhTIYR4lJfyfUomfQ
stacyv@hydrateivbar.com,,Hydrate IV Bar Mockingbird,https://hydrateivbar.com/locations/dallas-mockingbird/?utm_campaign=gmb,(214) 647-1149,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=Hydrate%20IV%20Bar%20Mockingbird&query_place_id=ChIJ_02SMnSfToYRo3DOC8rJJnY
info@ra-tx.com,,ReGen & Aesthetics Concierge of Texas,https://ra-tx.com/,(214) 500-4540,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=ReGen%20%26%20Aesthetics%20Concierge%20of%20Texas&query_place_id=ChIJ7zGnaAKfToYRo_nUlQXx8jc
customerservice@charettecosmetics.com,,Charette Cosmetics,https://charettecosmetics.com/dallas/?utm_source=google&utm_medium=organic&utm_campaign=GBPDallas,(945) 212-3170,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=Charette%20Cosmetics&query_place_id=ChIJwWOSCHWfToYRdTgGMTUvc88
marie@skinspamed.com,,SkinSpaMED,http://skinspamed.com/,(972) 392-3895,Dallas,Texas,https://www.google.com/maps/search/?api=1&query=SkinSpaMED&query_place_id=ChIJw2ZFgt4gTIYRESSpN1nY-2I
