website,company_name,phone,city,state,country,google_maps_url,rating,reviews_count,lead_score,email
https://dermatouchrn.com,DermaTouch RN,(281) 895-9090,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=DermaTouch%20RN&query_place_id=ChIJg9T5pPLNQIYREdcETFYIuz8,4.9,1807,0,
https://botoxrn.com,BotoxRN and MedSpa-Houston,(832) 831-1356,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=BotoxRN%20and%20MedSpa-Houston&query_place_id=ChIJ4fbFt5fBQIYRHOKDMghdrNQ,4.6,121,0,
https://antiageinstitute.com,Antiage Institute,(832) 430-7768,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Antiage%20Institute&query_place_id=ChIJJSZRF_rAQIYRPgG8GZnKnh8,4.9,664,0,
https://riveroaksmedspa.com,River Oaks MedSpa,(713) 621-2600,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=River%20Oaks%20MedSpa&query_place_id=ChIJL1LGdR3BQIYR5MvMIclvRtM,4.8,188,0,
https://swiftinjections.com,Swift Injections,(713) 703-7577,Houston,TX,US,https://www.google.com/maps/search/?api=1&query=Swift%20Injections&query_place_id=ChIJR8FISJ7bZ0sRgtNdX3bNuLw,4.8,19,0,
https://rosemilkaesthetics.com,Rose Milk Aesthetics,(832) 557-8151,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Rose%20Milk%20Aesthetics&query_place_id=ChIJeXg9tArHQIYRSPP7V61anh0,5,360,0,
https://dreamhoustonmedspa.com,Dream Aesthetics Medspa,(281) 846-6454,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Dream%20Aesthetics%20Medspa&query_place_id=ChIJKYvA1SPHQIYR56YOfaFfGjw,5,429,0,
https://houstoninjectionsmedspa.com,Houston Injections Medspa,(713) 821-4222,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Houston%20Injections%20Medspa&query_place_id=ChIJATG3FRrBQIYRSSGvQ3yXBw8,5,45,0,
https://medernaofficial.com,Mederna Aesthetic & Wellness Medical Center,(832) 272-0401,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Mederna%20Aesthetic%20%26%20Wellness%20Medical%20Center&query_place_id=ChIJh4kKVA3HQIYRWCZ5zbsvFj8,4.9,231,0,
https://thepuralife.com,PurA Medical Aesthetics,(281) 657-6074,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=PurA%20Medical%20Aesthetics&query_place_id=ChIJY9j7YBzBQIYRzzmH-lzMprE,5,887,0,
