website,company_name,phone,city,state,country,google_maps_url,rating,reviews_count,lead_score,email
https://laserskinsurgery.com,Laser & Skin Surgery Center of New York,(212) 686-7306,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Laser%20%26%20Skin%20Surgery%20Center%20of%20New%20York&query_place_id=ChIJs-xdjwVZwokROy69F2rmOf4,4.9,4212,0,
https://standardhotels.com,"The Standard Spa, Miami Beach",(305) 673-1717,Miami Beach,Florida,US,https://www.google.com/maps/search/?api=1&query=The%20Standard%20Spa%2C%20Miami%20Beach&query_place_id=ChIJi3iJenu02YgRFrHZlqynfjg,4.5,2580,0,
https://infinitylaserspa.com,Infinity Laser Spa,(212) 945-8298,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Infinity%20Laser%20Spa&query_place_id=ChIJP3JVNq9ZwokRqXuwunNmwhA,4.8,2212,0,
https://luxmedspabrickell.com,LUX MedSpa Brickell,(305) 988-9388,Miami,Florida,US,https://www.google.com/maps/search/?api=1&query=LUX%20MedSpa%20Brickell&query_place_id=ChIJtRS0HVy32YgRsiZz9ho-xq4,5,2210,0,
https://dermatouchrn.com,DermaTouch RN,(281) 895-9090,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=DermaTouch%20RN&query_place_id=ChIJg9T5pPLNQIYREdcETFYIuz8,4.9,1807,0,
https://nakedmd.com,NakedMD Med Spa Newport Beach,(949) 379-8758,Newport Beach,California,US,https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Newport%20Beach&query_place_id=ChIJmbn6_F7f3IARjeMK9NOGoFc,4.9,1606,0,
https://myspajoytx.zoca.com,My Spa Joy,(346) 660-3277,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=My%20Spa%20Joy&query_place_id=ChIJI0-M4s_DQIYRi67WrFgfF9E,4.9,1576,0,
https://4everyoungantiaging.com,4Ever Young Med Spa & Wellness Center - Boca Raton,(561) 320-4699,Boca Raton,Florida,US,https://www.google.com/maps/search/?api=1&query=4Ever%20Young%20Med%20Spa%20%26%20Wellness%20Center%20-%20Boca%20Raton&query_place_id=ChIJ8e4RTHYe2YgRakoZnm_B1OA,4.9,1560,0,
https://peacelovemed.com,Peace Love Med Spa | Botox | Lip Filler | Dysport | Facial Balancing | Non Surgical Nose Job,(561) 462-4234,Boca Raton,Florida,US,https://www.google.com/maps/search/?api=1&query=Peace%20Love%20Med%20Spa%20%7C%20Botox%20%7C%20Lip%20Filler%20%7C%20Dysport%20%7C%20Facial%20Balancing%20%7C%20Non%20Surgical%20Nose%20Job&query_place_id=ChIJGbA51A_i2IgR5JRVWLkjJlQ,5,1540,0,
https://baredmonkey.com,Bared Monkey Laser Spa,(212) 256-9777,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Bared%20Monkey%20Laser%20Spa&query_place_id=ChIJlzqeZqhZwokRIiBTqRUFtko,4.9,1396,0,
https://mia.dolcemedicalspas.com,Dolce Medical Spa - Miami,(786) 305-8898,Miami,Florida,US,https://www.google.com/maps/search/?api=1&query=Dolce%20Medical%20Spa%20-%20Miami&query_place_id=ChIJwdWBW0632YgRp4gSAlHwSSg,5,1087,0,
https://renewbeautymedspa.com,Renew Beauty,(214) 369-1600,Dallas,TX,US,https://www.google.com/maps/search/?api=1&query=Renew%20Beauty&query_place_id=ChIJbyg4-76fToYR7yQNSxt9gY4,4.7,1084,0,
https://drvitenas.com,Vitenas Cosmetic Surgery,(281) 484-0088,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Vitenas%20Cosmetic%20Surgery&query_place_id=ChIJ3b_pBxiaQIYRhLkR62Z8OJs,4.8,978,0,
https://thepuralife.com,PurA Medical Aesthetics,(281) 657-6074,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=PurA%20Medical%20Aesthetics&query_place_id=ChIJY9j7YBzBQIYRzzmH-lzMprE,5,887,0,
https://upkeepmedspa.com,UPKEEP Med Spa,(833) 875-3377,Dallas,Texas,US,https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg,4.9,883,0,
https://chelseaskincenter.com,Chelsea Skin & Laser,(212) 675-0549,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Chelsea%20Skin%20%26%20Laser&query_place_id=ChIJmR3TdLxZwokRBrnQKrZGm00,4.9,882,0,
https://renovalaser.com,Renova Laser Hair Removal & MedSpa,(832) 831-7003,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Renova%20Laser%20Hair%20Removal%20%26%20MedSpa&query_place_id=ChIJ5ZV1ah3BQIYRso_2UoBm9K8,4.6,868,0,
