email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source
+tx+75093/@33.0290235,Optim8 Health and Wellness,https://optim8healthandwellness.com/,(972) 942-4039,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Optim8%20Health%20and%20Wellness&query_place_id=ChIJq6qO_-cXTIYRDfjw1Ds0o5o,55,free_scrape
//cdn.jsdelivr.net/npm/bootstrap@5.0.2,Shahina Hoja Aesthetics (Medspa & Acne Clinic),http://www.shahinahoja.com/,(469) 823-0402,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Shahina%20Hoja%20Aesthetics%20(Medspa%20%26%20Acne%20Clinic)&query_place_id=ChIJmUyvIXtFwokRhPdD_zsK5ow,55,free_scrape
//cdn.jsdelivr.net/npm/select2@4.1.0-rc.0,Atlas Cosmetic & Family Dentistry of Plano,https://www.atlasdentistryplano.com/,(469) 367-0266,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Atlas%20Cosmetic%20%26%20Family%20Dentistry%20of%20Plano&query_place_id=ChIJrTN68lwZTIYRp0mrgK2M7Qw,55,free_scrape
//cdn.jsdelivr.net/npm/slick-carousel@1.8.1,Revived Aesthetics,https://www.revived-aesthetics.com/,(214) 885-7131,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Revived%20Aesthetics&query_place_id=ChIJ5w1A2k0jTIYRpk1ug7WFY04,55,free_scrape
//injectco.b-cdn.net/wp-content/cache/min/1/gsap@3.12.2,InjectCo MedSpa Plano,https://injectco.com/services/med-spa-plano-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp-plano,(972) 430-9297,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Plano&query_place_id=ChIJr6p6KFQjTIYRu1N9Gw-6hO0,55,free_scrape
//www.google.com/maps/@33.0589096,Noble Cosmetic Surgery,https://www.noblecosmeticsurgery.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GBP_Plano&utm_id=GBP_Plano,(214) 227-0668,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Noble%20Cosmetic%20Surgery&query_place_id=ChIJqbacwhMYTIYRtfVTodI3cfE,55,free_scrape
//www.google.com/maps/place/aesthetic+collective/@41.594491,Aesthetic Collective Plano,http://www.ac-plano.com/,(469) 829-2975,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Aesthetic%20Collective%20Plano&query_place_id=ChIJk5TsklQ9TIYRswr4u3qnXd0,55,free_scrape
//www.google.com/maps/place/brilliance+skin+and+laser/@33.0534268,Brilliance Skin and Laser,https://www.brillianceskin.us/specials,(469) 450-0012,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Brilliance%20Skin%20and%20Laser&query_place_id=ChIJAYYeJzEjTIYRi62Ieo-SVE0,55,free_scrape
//www.google.com/maps/place/brooks+eye+associates/@33.1143268,"Parsha Forouzan, MD",https://www.brookseyemd.com/dr-parsha-forouzan-ophthalmologist/?utm_source=Google&utm_medium=GBP&utm_id=Provider,(972) 403-1110,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Parsha%20Forouzan%2C%20MD&query_place_id=ChIJ-fLFuqM9TIYRQW9mZLOLN84,55,free_scrape
//www.google.com/maps/place/md+laser+med+spa/@33.0695558,MD Laser Med Spa,http://www.mdlasermed.com/,(469) 445-1171,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=MD%20Laser%20Med%20Spa&query_place_id=ChIJF_p5z8gjTIYRUN5lVGd_LK8,55,free_scrape
